year,dow,avg,year,dow,avg,year,dow,avg,year,dow,avg
1999,1,105.7933555,2000,1,106.2741134,2001,1,103.2908123,2002,1,104.4843362
1999,2,104.3107893,2000,2,105.9969993,2001,2,104.5377309,2002,2,104.3226984
1999,3,104.9375606,2000,3,106.1637499,2001,3,103.7640482,2002,3,106.151452
1999,4,105.0184157,2000,4,106.7658997,2001,4,103.227014,2002,4,105.4636067
1999,5,104.6862277,2000,5,106.0929738,2001,5,102.8297838,2002,5,105.3729836
1999,6,104.7693859,2000,6,106.548052,2001,6,103.5129969,2002,6,105.9155717
1999,7,104.7720257,2000,7,106.5394354,2001,7,103.2295912,2002,7,105.6640703
1999,8,104.8516803,2000,8,106.1949074,2001,8,103.6022789,2002,8,105.6486561
1999,9,103.8492245,2000,9,105.9293498,2001,9,101.8424387,2002,9,104.8535449
1999,10,103.9836986,2000,10,106.3668263,2001,10,101.4772152,2002,10,105.8541087
1999,11,104.0884068,2000,11,106.8434422,2001,11,102.7523918,2002,11,106.9767691
1999,12,105.4091807,2000,12,107.8096364,2001,12,104.3619717,2002,12,108.5349534
