win_no1,freq,win_no2,freq,win_no3,freq,win_no4,freq,win_no5,freq,win_no6,freq,win_no7,freq
1,113,2,18,3,3,5,1,9,1,19,2,1,26
2,84,3,26,4,4,6,3,10,1,20,4,2,22
3,74,4,31,5,5,8,3,12,2,21,3,3,18
4,75,5,37,6,11,9,4,13,1,22,3,4,21
5,64,6,23,7,9,10,1,14,1,23,3,5,13
6,56,7,48,8,16,11,12,15,2,24,2,6,22
7,50,8,53,9,13,12,10,16,2,25,4,7,19
8,37,9,36,10,25,13,8,17,7,26,5,8,18
9,24,10,47,11,21,14,14,18,8,27,9,9,15
10,31,11,44,12,20,15,20,19,9,28,7,10,18
11,28,12,46,13,40,16,23,20,15,29,5,11,17
12,23,13,38,14,36,17,24,21,12,30,10,12,17
13,20,14,38,15,38,18,20,22,10,31,13,13,22
14,20,15,35,16,28,19,20,23,15,32,16,14,15
15,9,16,26,17,34,20,25,24,18,33,15,15,14
16,16,17,33,18,42,21,29,25,21,34,29,16,21
17,13,18,29,19,40,22,22,26,25,35,25,17,19
18,5,19,23,20,47,23,32,27,25,36,30,18,11
19,8,20,25,21,34,24,38,28,31,37,40,19,14
20,3,21,14,22,31,25,37,29,33,38,35,20,16
21,3,22,17,23,24,26,36,30,23,39,43,21,20
22,3,23,17,24,32,27,41,31,33,40,68,22,11
23,2,24,11,25,26,28,25,32,32,41,48,23,13
24,2,25,11,26,29,29,30,33,37,42,61,24,18
25,1,26,6,27,32,30,33,34,49,43,87,25,15
26,2,27,13,28,23,31,41,35,38,44,97,26,18
29,1,28,4,29,20,32,33,36,40,45,104,27,20
35,1,29,5,30,20,33,40,37,47,,,28,14
,,30,5,31,14,34,35,38,45,,,29,8
,,31,2,32,6,35,23,39,46,,,30,20
,,32,2,33,13,36,25,40,40,,,31,18
,,33,2,34,8,37,17,41,40,,,32,16
,,34,1,35,8,38,12,42,31,,,33,22
,,36,1,36,6,39,11,43,20,,,34,12
,,37,1,37,7,40,10,44,8,,,35,20
,,,,38,2,41,6,,,,,36,12
,,,,39,1,42,3,,,,,37,17
,,,,,,43,1,,,,,38,18
,,,,,,,,,,,,39,18
,,,,,,,,,,,,40,13
,,,,,,,,,,,,41,12
,,,,,,,,,,,,42,16
,,,,,,,,,,,,43,30
,,,,,,,,,,,,44,16
,,,,,,,,,,,,45,13
